Treatment,ID,Diameter,Height,nodes,flowers,branches,2flowers,,,,,,,,,
Dry,2670,2.84,29.4,11,6,0,0,,,,,,,,,
Dry,2496,4.05,29.4,15,10,16,16,,,,,,,,,
Dry,2400,4.2,29.5,14,10,11,11,,,,,,,,,
Dry,2361,4.36,29.5,13,8,7,1,,,,,,,,,
Wet,2574,4.16,29.6,15,9,11,2,,,,,,,,,
Dry,2037,5.64,29.6,16,9,11,10,,,,,,,,,
Dry,2463,3.83,29.7,14,7,7,5,,,,,,,,,
Dry,3387,4.05,29.7,13,8,5,0,,,,,,,,,
Dry,3333,3.33,29.8,13,4,4,0,,,,,,,,,
Dry,2319,4.66,29.8,15,5,15,16,,,,,,,,,
Dry,2781,2.77,30,11,6,4,0,,,,,,,,,
Wet,,2.79,30,12,7,11,0,,,,,,,,,
Dry,3033,2.91,30,13,10,10,0,,,,,,,,,
Dry,2568,3.06,30,13,6,8,2,,,,,,,,,
Wet,3009,3.51,30,13,11,12,1,,,,,,,,,
Dry,3315,3.31,30.1,13,7,8,0,,,,,,,,,
Dry,2565,3.87,30.1,13,7,4,2,,,,,,,,,
Dry,2994,2.74,30.2,11,6,7,0,,,,,,,,,
Wet,3042,3.39,30.2,15,12,9,0,,,,,,,,,
Wet,2151,3.91,30.2,13,6,0,0,,,,,,,,,
Dry,3393,4.39,30.2,14,6,13,0,,,,,,,,,
Dry,2490,4.58,30.2,17,10,8,2,,,,,,,,,
Dry,2976,2.52,30.3,11,9,4,0,,,,,,,,,
Wet,3057,2.82,30.3,15,8,2,0,,,,,,,,,
Dry,3414,3.05,30.3,15,10,4,0,,,,,,,,,
Dry,3273,3.42,30.3,9,10,8,3,,,,,,,,,
Dry,2550,3.49,30.3,14,6,6,0,,,,,,,,,
Dry,2877,2.58,30.5,12,6,0,0,,,,,,,,,
Dry,3360,3.7,30.5,15,8,0,0,,,,,,,,,
Dry,2007,3.96,30.5,15,12,13,4,,,,,,,,,
Dry,2370,5.41,30.5,15,10,12,1,,,,,,,,,
Wet,2628,2.92,30.6,15,5,0,0,,,,,,,,,
Wet,2580,3.86,30.6,15,6,12,5,,,,,,,,,
Wet,2226,4.37,30.6,16,8,0,0,,,,,,,,,
Dry,2367,3.72,30.7,14,10,5,0,,,,,,,,,
Wet,2331,3.94,30.8,14,7,0,0,,,,,,,,,
Dry,2106,4.76,30.8,17,9,15,13,,,,,,,,,
Dry,2514,5.42,30.8,16,5,15,8,,,,,,,,,
Wet,2625,3.42,30.9,15,5,0,0,,,,,,,,,
Wet,2880,2.92,31,14,4,0,0,,,,,,,,,
Wet,3036,3.25,31,14,7,4,0,,,,,,,,,
Wet,3024,3.56,31,13,8,3,0,,,,,,,,,
Dry,2262,4.43,31,18,6,22,7,,,,,,,,,
Dry,3159,2.19,31.1,12,8,2,0,,,,,,,,,
Wet,3201,3.26,31.1,13,6,6,0,,,,,,,,,
Dry,3330,3.52,31.1,13,8,0,0,,,,,,,,,
Dry,3246,4.68,31.1,12,8,3,0,,,,,,,,,
Dry,3237,3.46,31.2,13,8,13,0,,,,,,,,,
Dry,2214,3.82,31.2,13,4,0,0,,,,,,,,,
Wet,3240,2.96,31.3,13,7,0,0,,,,,,,,,
Dry,3042,3.62,31.4,15,14,13,9,,,,,,,,,
Dry,2271,5.33,31.4,17,8,15,13,,,,,,,,,
Dry,2577,2.97,31.5,15,5,6,0,,,,,,,,,
Wet,3012,3.41,31.5,14,8,9,0,,,,,,,,,
Dry,2040,5.31,31.5,17,12,11,6,,,,,,,,,
Dry,2523,6.09,31.5,16,6,13,7,,,,,,,,,
Wet,2631,3.18,31.6,14,5,1,0,,,,,,,,,
Dry,2598,3.22,31.6,13,6,3,0,,,,,,,,,
Dry,2979,3.36,31.6,14,11,12,6,,,,,,,,,
Dry,2973,2.92,31.9,13,19,11,0,,,,,,,,,
Dry,2949,2.51,32,12,9,7,0,,,,,,,,,
Dry,2913,2.58,32,12,10,7,0,,,,,,,,,
Wet,2916,2.65,32,11,10,11,0,,,,,,,,,
Wet,2430,4.5,32,14,6,12,15,,,,,,,,,
Dry,2406,4.54,32,15,8,11,10,,,,,,,,,
Wet,3177,3.91,32.3,14,5,5,0,,,,,,,,,
Dry,3378,3.3,32.4,10,6,0,0,,,,,,,,,
Wet,2340,3.16,32.5,12,6,0,0,,,,,,,,,
Wet,3180,3.33,32.5,16,6,11,0,,,,,,,,,
Dry,2697,4.57,32.5,15,7,12,6,,,,,,,,,
Dry,2538,4.91,32.6,15,6,15,2,,,,,,,,,
Wet,2589,4.66,32.8,17,9,12,15,,,,,,,,,
Wet,3312,4.86,32.8,13,6,2,0,,,,,,,,,
Wet,2727,3.26,33,11,8,6,0,,,,,,,,,
Dry,2763,3.3,33,12,5,2,0,,,,,,,,,
Dry,2391,5.84,33,17,10,9,4,,,,,,,,,
Dry,2790,2.86,33.1,13,5,1,0,,,,,,,,,
Dry,2997,4.16,33.1,14,10,15,0,,,,,,,,,
Wet,2220,5.44,33.1,15,8,0,0,,,,,,,,,
Dry,2778,2.49,33.2,13,4,6,0,,,,,,,,,
Dry,3270,3.24,33.2,13,8,10,12,,,,,,,,,
Dry,2277,6.14,33.2,15,6,16,17,,,,,,,,,
Dry,2412,3.61,33.3,16,6,9,9,,,,,,,,,
Wet,2790,3.7,33.3,12,4,0,0,,,,,,,,,
Dry,2094,4.76,33.3,17,5,17,9,,,,,,,,,
Wet,3048,3.15,33.5,14,9,5,0,,,,,,,,,
Dry,2898,4.15,33.5,19,9,0,0,,,,,,,,,
Dry,3432,3.52,33.6,16,10,9,1,,,,,,,,,
Wet,3051,3.73,33.6,13,10,11,0,,,,,,,,,
Dry,2301,4.8,33.6,18,9,18,9,,,,,,,,,
Dry,3198,3.74,33.7,14,8,14,3,,,,,,,,,
Dry,2403,4.17,33.7,15,10,11,11,,,,,,,,,
Dry,2571,4.9,33.7,15,6,13,3,,,,,,,,,
Dry,2952,2.93,33.9,13,7,8,0,,,,,,,,,
Wet,2622,4.03,33.9,15,7,0,0,,,,,,,,,
Dry,2796,2.76,34,13,10,10,0,,,,,,,,,
Dry,2775,2.46,34.1,14,4,0,0,,,,,,,,,
Dry,3249,3.15,34.1,13,6,3,0,,,,,,,,,
Dry,2580,2.71,34.2,15,6,0,0,,,,,,,,,
Dry,3294,3.5,34.2,14,8,11,1,,,,,,,,,
Dry,2553,3.75,34.2,16,3,18,4,,,,,,,,,
Dry,2043,6.18,34.2,14,11,11,3,,,,,,,,,
Wet,2796,3.15,34.3,12,8,2,0,,,,,,,,,
Wet,3186,3.25,34.3,13,8,11,0,,,,,,,,,
Dry,2883,3.17,34.4,15,5,3,0,,,,,,,,,
Wet,2964,2.92,34.5,15,11,11,0,,,,,,,,,
Dry,2520,4.33,34.5,13,5,12,1,,,,,,,,,
Wet,3297,4.45,34.5,14,7,2,0,,,,,,,,,
Dry,2961,2.68,34.6,15,10,16,1,,,,,,,,,
Dry,2433,4.58,34.6,17,8,23,12,,,,,,,,,
Dry,2871,2.49,35,11,6,2,0,,,,,,,,,
Wet,3342,3.05,35,14,7,2,0,,,,,,,,,
