"","ID","Treatment","Tray","Placement","Flowering_date","avg_germ","FT","Sow_date","FD","days_to_germ","Rep","S0_ID","Name","Site","Year","Generation","Region","PrePeak","S1_ID","S0_trt","S1_trt","TRTHIS"
"72",2232,"Dry",23,15,"27-Jan","06-Nov","82","29-Oct","90","8","2","29","Sweetwater","S02",2014,"S0","South","Peak",1038,"W","W","WW"
"73",2234,"Wet",4,2,"Nov 19","Aug-23","88","Aug-15","96","8","1","29","Sweetwater","S02",2014,"S0","South","Peak",1039,"D","D","DD"
"74",2234,"Dry",4,2,"Oct-31","Aug-23","69","Aug-15","77","8","1","29","Sweetwater","S02",2014,"S0","South","Peak",1039,"D","D","DD"
"75",2235,"Dry",8,14,"20-Jan","04-Nov","77","29-Oct","83","6.333333333","2","29","Sweetwater","S02",2014,"S0","South","Peak",1039,"D","D","DD"
"76",2235,"Wet",8,14,"01-Feb","04-Nov","89","29-Oct","95","6.333333333","2","29","Sweetwater","S02",2014,"S0","South","Peak",1039,"D","D","DD"
"77",2237,"Wet",5,9,"Nov-14","Aug-23","83","Aug-15","91","8.333333333","1","29","Sweetwater","S02",2014,"S0","South","Peak",1039,"D","W","DW"
"78",2237,"Dry",5,9,"Nov-3","Aug-23","72","Aug-15","80","8.333333333","1","29","Sweetwater","S02",2014,"S0","South","Peak",1039,"D","W","DW"
"79",2238,"Wet",21,16,"18-Mar","03-Nov","134.3333333","29-Oct","140","5.666666667","2","29","Sweetwater","S02",2014,"S0","South","Peak",1039,"D","W","DW"
"80",2238,"Dry",21,16,"03-Feb","03-Nov","92","29-Oct","97","5.666666667","2","29","Sweetwater","S02",2014,"S0","South","Peak",1039,"D","W","DW"
"81",2240,"Dry",12,7,"","#DIV/0!","#DIV/0!","Aug-15","May-15","#DIV/0!","1","29","Sweetwater","S02",2014,"S0","South","Peak",1040,"D","D","DD"
"82",2240,"Wet",12,7,"","#DIV/0!","#DIV/0!","Aug-15","May-15","#DIV/0!","1","29","Sweetwater","S02",2014,"S0","South","Peak",1040,"D","D","DD"
"83",2241,"Dry",16,10,NA,"#DIV/0!","#DIV/0!","29-Oct","#VALUE!","#DIV/0!","2","29","Sweetwater","S02",2014,"S0","South","Peak",1040,"D","D","DD"
"84",2241,"Wet",16,10,NA,"#DIV/0!","#DIV/0!","29-Oct","#VALUE!","#DIV/0!","2","29","Sweetwater","S02",2014,"S0","South","Peak",1040,"D","D","DD"
"85",2243,"Dry",15,12,"Oct-28","Aug-24","65","Aug-15","74","9.333333333","1","29","Sweetwater","S02",2014,"S0","South","Peak",1040,"D","W","DW"
"86",2243,"Wet",15,12,"Nov-9","Aug-24","77","Aug-15","86","9.333333333","1","29","Sweetwater","S02",2014,"S0","South","Peak",1040,"D","W","DW"
"87",2244,"Dry",12,1,NA,"03-Nov","#VALUE!","29-Oct","#VALUE!","5.666666667","2","29","Sweetwater","S02",2014,"S0","South","Peak",1040,"D","W","DW"
"88",2244,"Wet",12,1,"12-Feb","03-Nov","101","29-Oct","106","5.666666667","2","29","Sweetwater","S02",2014,"S0","South","Peak",1040,"D","W","DW"
"89",2246,"Wet",10,5,"Nov-7","Aug-23","76","Aug-15","84","8","1","29","Sweetwater","S02",2014,"S0","South","Peak",1041,"D","D","DD"
"90",2246,"Dry",10,5,"Oct-27","Aug-23","65","Aug-15","73","8","1","29","Sweetwater","S02",2014,"S0","South","Peak",1041,"D","D","DD"
"91",2247,"Wet",4,10,"24-Feb","03-Nov","113","29-Oct","118","5","2","29","Sweetwater","S02",2014,"S0","South","Peak",1041,"D","D","DD"
"92",2247,"Dry",4,10,NA,"03-Nov","#VALUE!","29-Oct","#VALUE!","5","2","29","Sweetwater","S02",2014,"S0","South","Peak",1041,"D","D","DD"
"93",2249,"Wet",14,3,"Nov-6","Aug-24","74","Aug-15","83","9","1","29","Sweetwater","S02",2014,"S0","South","Peak",1041,"D","W","DW"
"94",2249,"Dry",14,3,"Nov-2","Aug-24","70","Aug-15","79","9","1","29","Sweetwater","S02",2014,"S0","South","Peak",1041,"D","W","DW"
"95",2250,"Dry",24,18,"18-Feb","04-Nov","106","29-Oct","112","6.333333333","2","29","Sweetwater","S02",2014,"S0","South","Peak",1041,"D","W","DW"
"96",2250,"Wet",24,18,NA,"04-Nov","#DIV/0!","29-Oct","#VALUE!","6.333333333","2","29","Sweetwater","S02",2014,"S0","South","Peak",1041,"D","W","DW"
"97",2252,"Dry",6,7,"Oct-31","Aug-22","70","Aug-15","77","7.333333333","1","32","Sweetwater","S02",2014,"S0","South","Peak",1042,"W","D","WD"
"98",2252,"Wet",6,7,"Oct-29","Aug-22","68","Aug-15","75","7.333333333","1","32","Sweetwater","S02",2014,"S0","South","Peak",1042,"W","D","WD"
"99",2253,"Wet",17,15,"14-Jan","03-Nov","72","29-Oct","77","5.666666667","2","32","Sweetwater","S02",2014,"S0","South","Peak",1042,"W","D","WD"
"100",2253,"Dry",17,15,"08-Jan","03-Nov","66","29-Oct","71","5.666666667","2","32","Sweetwater","S02",2014,"S0","South","Peak",1042,"W","D","WD"
"101",2255,"Dry",13,4,"Nov-2","Aug-22","72","Aug-15","79","7","1","32","Sweetwater","S02",2014,"S0","South","Peak",1042,"W","W","WW"
"102",2255,"Wet",13,4,"Nov-4","Aug-22","74","Aug-15","81","7","1","32","Sweetwater","S02",2014,"S0","South","Peak",1042,"W","W","WW"
"103",2256,"Dry",9,15,"21-Jan","04-Nov","78","29-Oct","84","6","2","32","Sweetwater","S02",2014,"S0","South","Peak",1042,"W","W","WW"
"104",2256,"Wet",9,15,"22-Jan","04-Nov","79","29-Oct","85","6","2","32","Sweetwater","S02",2014,"S0","South","Peak",1042,"W","W","WW"
"105",2258,"Wet",26,3,"Oct-30","Aug-23","68","Aug-15","76","8.333333333","1","32","Sweetwater","S02",2014,"S0","South","Peak",1043,"W","D","WD"
"106",2258,"Dry",26,3,"Oct-29","Aug-23","67","Aug-15","75","8.333333333","1","32","Sweetwater","S02",2014,"S0","South","Peak",1043,"W","D","WD"
"107",2259,"Wet",25,15,"13-Jan","03-Nov","71","29-Oct","76","5","2","32","Sweetwater","S02",2014,"S0","South","Peak",1043,"W","D","WD"
"108",2259,"Dry",25,15,"08-Jan","03-Nov","66","29-Oct","71","5","2","32","Sweetwater","S02",2014,"S0","South","Peak",1043,"W","D","WD"
"109",2261,"Wet",8,5,"Oct-28","Aug-22","67","Aug-15","74","7","1","32","Sweetwater","S02",2014,"S0","South","Peak",1043,"W","W","WW"
"110",2261,"Dry",8,5,"Oct-22","Aug-22","61","Aug-15","68","7","1","32","Sweetwater","S02",2014,"S0","South","Peak",1043,"W","W","WW"
