Generation,Timeline,Parental,ID,Placement,Tray,Treatment,Viable,Aborted,Percent_viable,,,,,,
S1,172,D,1178,12,11,wet,315,58,0.8445040214,,,,,,
S1,35,D,1053,13,11,wet,292,7,0.9765886288,,,,,,
S1,154,W,1139,14,11,wet,,,#DIV/0!,,,,,,
S1,40,W,1078,15,11,wet,,,#DIV/0!,,,,,,
S1,54,W,1110,16,11,wet,350,20,0.9459459459,,,,,,
S1,167,W,1163,17,11,wet,306,16,0.950310559,,,,,,
S1,172,D,1179,18,11,wet,270,30,0.9,259,92,,,,
S1,167,D,1165,1,12,wet,313,19,0.9427710843,,,,,,
S1,148,D,1123,2,12,wet,278,18,0.9391891892,,,,,,
S1,344,D,1196,3,12,wet,296,39,0.8835820896,,,,,,
S1,153,D,1136,4,12,wet,299,19,0.9402515723,,,,,,
S1,1,W,1002,5,12,wet,294,18,0.9423076923,,,,,,
S1,37,W,1055,6,12,wet,368,20,0.9484536082,,,,,,
S1,345,D,1202,7,12,wet,209,161,0.5648648649,,,,,,
S1,4,W,1014,8,12,wet,107,190,0.3602693603,,,,,,
S1,155,D,1148,9,12,wet,269,43,0.8621794872,,,,,,
S1,51,W,1098,10,12,wet,343,17,0.9527777778,,,,,,
S1,166,W,1158,11,12,wet,294,9,0.9702970297,,,,,,
S1,372,D,1219,12,12,wet,290,14,0.9539473684,,,,,,
S1,345,W,1198,13,12,wet,284,14,0.9530201342,,,,,,
S1,49,D,1093,14,12,wet,278,34,0.891025641,,,,,,
S1,155,W,1146,15,12,wet,315,24,0.9292035398,,,,,,
S1,35,D,1052,16,12,wet,290,9,0.9698996656,,,,,,
S1,167,D,1167,17,12,wet,287,42,0.8723404255,,,,,,
S1,375,W,1235,18,12,wet,319,21,0.9382352941,,,,,,
S1,29,W,1037,1,13,wet,319,8,0.9755351682,,,,,,
S1,349,D,1208,2,13,wet,303,1,0.9967105263,,,,,,
S1,374,W,1229,3,13,wet,338,38,0.8989361702,,,,,,
S1,166,W,1157,4,13,wet,283,42,0.8707692308,,,,,,
S1,167,W,1164,5,13,wet,297,9,0.9705882353,,,,,,
S1,374,D,1233,6,13,wet,339,98,0.7757437071,,,,,,
S1,344,W,1192,7,13,wet,,,#DIV/0!,,,,,,
S1,152,W,1128,8,13,wet,312,26,0.9230769231,,,,,,
S1,1,D,1003,9,13,wet,282,18,0.94,,,,,,
S1,39A,D,1071,10,13,wet,300,0,1,,,,,,
S1,29,W,1038,11,13,wet,,,#DIV/0!,,,,,,
S1,373,W,1224,12,13,wet,,,#DIV/0!,,,,,,
S1,57,D,1117,13,13,wet,290,17,0.9446254072,,,,,,
S1,166,D,1159,14,13,wet,310,30,0.9117647059,,,,,,
S1,6,W,1020,15,13,wet,318,11,0.9665653495,,,,,,
S1,29,W,1036,16,13,wet,289,33,0.897515528,Pollen from June 14:,306,9,,,
S1,172,W,1174,17,13,wet,239,93,0.7198795181,,,,,,
S1,51,D,1099,18,13,wet,372,32,0.9207920792,,,,,,
S1,170,D,1171,1,14,wet,135,182,0.4258675079,,,,,,
S1,6,D,1022,2,14,wet,284,17,0.9435215947,,,,,,
S1,342,W,1180,3,14,wet,,,#DIV/0!,,,,,,
S1,349,D,1209,4,14,wet,281,21,0.9304635762,,,,,,
S1,52,D,1107,5,14,wet,249,74,0.7708978328,,,,,,
S1,54,D,1112,6,14,wet,285,38,0.8823529412,,,,,,
S1,172,W,1176,1,1,dry,298,24,0.9254658385,,,,,,
S1,349,D,1207,2,1,dry,302,10,0.9679487179,,,,,,
S1,164,W,1150,3,1,dry,299,20,0.9373040752,,,,,,
S1,154,D,1141,4,1,dry,313,26,0.9233038348,,,,,,
S1,372,W,1218,5,1,dry,215,91,0.7026143791,,,,,,
S1,3,D,1010,6,1,dry,305,9,0.9713375796,,,,,,
S1,39A,W,1066,7,1,dry,252,39,0.8659793814,,,,,,
S1,39B,D,1076,8,1,dry,341,4,0.9884057971,,,,,,
S1,51,W,1096,9,1,dry,311,10,0.968847352,,,,,,
S1,54,W,1109,10,1,dry,,,#DIV/0!,"11 TOTAL GRAINS, ALL VIABLE",,,,,
S1,371,W,1210,11,1,dry,290,10,0.9666666667,378,43,,,,
S1,374,D,1231,12,1,dry,278,27,0.9114754098,,,,,,
S1,52,W,1104,13,1,dry,276,22,0.9261744966,,,,,,
S1,7,D,1029,14,1,dry,372,13,0.9662337662,,,,,,
S1,1,D,1005,15,1,dry,255,87,0.7456140351,,,,,,
S1,148,D,1124,16,1,dry,269,36,0.8819672131,,,,,,
S1,49,D,1095,17,1,dry,327,20,0.9423631124,,,,,,
S1,7,D,1027,18,1,dry,317,20,0.940652819,,,,,,
S1,41,W,1085,1,2,dry,302,11,0.96485623,,,,,,
S1,375,D,1239,2,2,dry,290,5,0.9830508475,,,,,,
S1,170,D,1173,3,2,dry,248,59,0.8078175896,,,,,,
S1,40,W,1080,4,2,dry,304,4,0.987012987,,,,,,
S1,375,D,1237,5,2,dry,249,87,0.7410714286,,,,,,
S1,374,W,1230,6,2,dry,257,50,0.8371335505,,,,,,
S1,343,D,1189,7,2,dry,405,15,0.9642857143,,,,,,
S1,170,D,1172,8,2,dry,243,57,0.81,95,221,,,,
S1,345,W,1200,9,2,dry,237,137,0.6336898396,,,,,,
S1,7,W,1025,10,2,dry,298,9,0.9706840391,,,,,,
S1,39B,D,1077,11,2,dry,278,35,0.8881789137,,,,,,
S1,148,D,1125,12,2,dry,311,33,0.9040697674,,,,,,
S1,32,W,1044,13,2,dry,252,218,0.5361702128,,,,,,
S1,343,W,1188,14,2,dry,304,5,0.9838187702,,,,,,
S1,35,W,1048,15,2,dry,290,17,0.9446254072,,,,,,
S1,52,W,1103,16,2,dry,280,42,0.8695652174,,,,,,
S1,37,W,1054,17,2,dry,323,28,0.9202279202,,,,,,
S1,32,W,1043,18,2,dry,,,#DIV/0!,,,,,,
S1,172,D,1177,1,3,dry,243,45,0.84375,,,,,,
S1,373,D,1225,2,3,dry,261,70,0.7885196375,,,,,,
S1,152,W,1127,3,3,dry,315,39,0.8898305085,,,,,,
S1,41,W,1086,4,3,dry,292,10,0.9668874172,,,,,,
S1,38,D,1065,5,3,dry,333,4,0.9881305638,,,,,,
S1,49,D,1094,6,3,dry,260,46,0.8496732026,,,,,,
S1,155,D,1147,7,3,dry,335,19,0.9463276836,,,,,,
S1,345,W,1199,8,3,dry,267,78,0.7739130435,,,,,,
S1,164,W,1151,9,3,dry,374,20,0.9492385787,,,,,,
S1,4,D,1015,10,3,dry,251,58,0.8122977346,,,,,,
S1,153,W,1134,11,3,dry,308,18,0.9447852761,,,,,,
S1,6,D,1021,12,3,dry,269,40,0.8705501618,,,,,,
S1,39B,D,1075,13,3,dry,303,3,0.9901960784,,,,,,
S1,345,D,1203,14,3,dry,268,27,0.9084745763,,,,,,
S1,4,D,1017,15,3,dry,331,25,0.9297752809,,,,,,
S1,343,D,1190,16,3,dry,364,8,0.9784946237,,,,,,
S1,51,D,1101,17,3,dry,325,3,0.9908536585,,,,,,
S1,41,D,1088,18,3,dry,336,16,0.9545454545,,,,,,
S1,28,D,1034,1,4,dry,280,17,0.9427609428,,,,,,
S1,172,W,1175,2,4,dry,235,81,0.7436708861,,,,,,
S1,167,W,1162,3,4,dry,377,30,0.9262899263,,,,,,
S1,155,W,1144,4,4,dry,282,21,0.9306930693,,,,,,
S1,164,W,1152,5,4,dry,283,24,0.9218241042,,,,,,
S1,148,W,1120,6,4,dry,175,25,0.875,,,,,,
S1,32,D,1045,7,4,dry,292,76,0.7934782609,,,,,,
S1,37,D,1058,8,4,dry,307,15,0.9534161491,,,,,,
S1,152,W,1126,9,4,dry,312,3,0.9904761905,,,,,,
S1,7,D,1028,10,4,dry,282,18,0.94,,,,,,
S1,148,W,1121,11,4,dry,280,19,0.9364548495,,,,,,
S1,7,W,1026,12,4,dry,288,13,0.9568106312,,,,,,
S1,152,D,1131,13,4,dry,322,9,0.9728096677,,,,,,
S1,375,D,1238,14,4,dry,331,63,0.8401015228,,,,,,
S1,3,W,1006,15,4,dry,303,8,0.9742765273,,,,,,
S1,29,D,1041,16,4,dry,268,34,0.8874172185,,,,,,
S1,40,D,1083,17,4,dry,,,#DIV/0!,,,,,,
S1,375,W,1234,18,4,dry,348,56,0.8613861386,,,,,,
S1,38,W,1061,1,5,dry,271,35,0.885620915,,,,,,
S1,37,W,1056,2,5,dry,304,8,0.9743589744,,,,,,
S1,57,D,1119,3,5,dry,308,5,0.9840255591,,,,,,
S1,54,D,1111,4,5,dry,83,231,0.2643312102,,,,,,
S1,155,W,1145,5,5,dry,242,66,0.7857142857,,,,,,
S1,38,W,1062,6,5,dry,306,12,0.9622641509,,,,,,
S1,153,W,1133,7,5,dry,270,55,0.8307692308,,,,,,
S1,371,D,1213,8,5,dry,276,33,0.8932038835,,,,,,
S1,57,W,1115,9,5,dry,295,14,0.9546925566,,,,,,
S1,28,W,1030,10,5,dry,394,23,0.9448441247,,,,,,
S1,49,W,1091,11,5,dry,305,10,0.9682539683,,,,,,
S1,345,D,1201,12,5,dry,167,212,0.4406332454,,,,,,
S1,344,W,1194,13,5,dry,285,42,0.871559633,,,,,,
S1,29,D,1039,14,5,dry,287,30,0.905362776,,,,,,
S1,57,W,1114,15,5,dry,,,#DIV/0!,Only 13 total?,,,,,
S1,49,W,1090,16,5,dry,296,14,0.9548387097,,,,,,
