Treatment,ID,ww,sa,dw,wc,sla,,,,
Dry,2903,0.35,12.443,0.052,0.298,239.2884615,,,,
Wet,2903,0.35,14.847,0.062,0.288,239.4677419,,,,
Dry,2906,0.28,10.135,0.053,0.227,191.2264151,,,,
Wet,2906,0.21,9.225,0.038,0.172,242.7631579,,,,
Dry,2909,0.19,7.43,0.038,0.152,195.5263158,,,,
Wet,2909,0.26,11.051,0.044,0.216,251.1590909,,,,
Dry,2912,0.3,11.267,0.043,0.257,262.0232558,,,,
Wet,2912,0.33,13.445,0.052,0.278,258.5576923,,,,
Dry,2915,0.18,7.252,0.035,0.145,207.2,,,,
Wet,2915,0.29,10.928,0.042,0.248,260.1904762,,,,
Dry,2918,0.2,9.655,0.035,0.165,275.8571429,,,,
Wet,2918,0.5,21.136,0.089,0.411,237.4831461,,,,
Dry,2921,0.26,10.412,0.049,0.211,212.4897959,,,,
Wet,2921,0.58,21.617,0.082,0.498,263.6219512,,,,
Dry,2924,,,,0,#DIV/0!,,,,
Wet,2924,,,,0,#DIV/0!,,,,
Dry,2927,0.24,9.484,0.048,0.192,197.5833333,,,,
Wet,2927,0.33,12.682,0.052,0.278,243.8846154,,,,
Dry,2930,0.28,11.385,0.06,0.22,189.75,,,,
Wet,2930,0.35,13.818,0.059,0.291,234.2033898,,,,
Dry,2933,0.28,12.391,0.051,0.229,242.9607843,,,,
Wet,2933,0.341,14.759,0.058,0.283,254.4655172,,,,
Dry,2936,0.16,6.35,0.033,0.127,192.4242424,,,,
Wet,2936,0.48,16.241,0.083,0.397,195.6746988,,,,
Dry,2939,0.15,6.26,0.031,0.119,201.9354839,,,,
Wet,2939,0.3,11.7,0.053,0.247,220.754717,,,,
Dry,2942,0.17,7.031,0.042,0.128,167.4047619,,,,
Wet,2942,0.21,9.169,0.046,0.164,199.326087,,,,
Dry,2945,,,,0,#DIV/0!,,,,
Wet,2945,0.341,13.452,0.067,0.274,200.7761194,,,,
Dry,2948,0.07,3.12,0.024,0.046,130,,,,
Wet,2948,0.18,7.485,0.036,0.144,207.9166667,,,,
Dry,2951,0.2,9.277,0.04,0.16,231.925,,,,
Wet,2951,0.31,13.633,0.064,0.246,213.015625,,,,
Dry,2954,0.14,5.745,0.026,0.114,220.9615385,,,,
Wet,2954,0.19,8.141,0.043,0.147,189.3255814,,,,
Dry,2957,0.15,6.585,0.035,0.115,188.1428571,,,,
Wet,2957,0.25,10.005,0.05,0.2,200.1,,,,
Dry,2960,0.07,2.917,0.016,0.054,182.3125,,,,
Wet,2960,0.12,5.232,0.019,0.101,275.3684211,,,,
Dry,2963,0.22,8.088,0.043,0.177,188.0930233,,,,
Wet,2963,0.25,10.968,0.044,0.206,249.2727273,,,,
Dry,2966,0.18,7.485,0.031,0.149,241.4516129,,,,
Wet,2966,0.25,10.666,0.04,0.21,266.65,,,,
Dry,2969,0.1,4.136,0.026,0.074,159.0769231,,,,
Wet,2969,0.29,12.472,0.063,0.227,197.968254,,,,
Dry,2972,0.09,3.24,0.019,0.071,170.5263158,,,,
Wet,2972,0.14,5.58,0.027,0.113,206.6666667,,,,
Dry,2975,0.12,4.252,0.025,0.095,170.08,,,,
Wet,2975,0.22,8.383,0.041,0.179,204.4634146,,,,
Dry,2978,0.1,3.921,0.014,0.086,280.0714286,,,,
Wet,2978,0.2,7.874,0.03,0.17,262.4666667,,,,
Dry,2981,0.07,2.593,0.012,0.058,216.0833333,,,,
Wet,2981,0.19,6.557,0.036,0.154,182.1388889,,,,
Dry,2984,0.06,1.521,0.008,0.052,190.125,,,,
Wet,2984,0.21,7.928,0.036,0.174,220.2222222,,,,
Dry,2987,0.11,4.335,0.024,0.086,180.625,,,,
Wet,2987,0.12,5.588,0.018,0.102,310.4444444,,,,
Dry,2990,0.08,3.368,0.013,0.067,259.0769231,,,,
Wet,2990,0.2,7.654,0.034,0.166,225.1176471,,,,
Dry,2993,0.11,4.523,0.02,0.09,226.15,,,,
Wet,2993,0.28,10.623,0.054,0.226,196.7222222,,,,
Dry,2996,0.05,2.045,0.009,0.041,227.2222222,,,,
Wet,2996,0.17,7.017,0.045,0.125,155.9333333,,,,
Dry,2999,0.11,3.416,0.026,0.084,131.3846154,,,,
Wet,2999,0.18,7.409,0.033,0.147,224.5151515,,,,
