"","ID","Treatment","Tray","Placement","Flowering_date","avg_germ","FT","Sow_date","FD","days_to_germ","Rep","S0_ID","Name","Site","Year","Generation","Region","PrePeak","S1_ID","S0_trt","S1_trt","TRTHIS"
"103",2076,"Wet",20,14,"03-Mar","18-Nov","105","29-Oct","125","20","2","4","Sweetwater","S02",2010,"S0","South","Pre",1012,"W","W","WW"
"104",2076,"Dry",20,14,"20-Jan","18-Nov","63","29-Oct","83","20","2","4","Sweetwater","S02",2010,"S0","South","Pre",1012,"W","W","WW"
"105",2078,"Dry",17,17,"Oct-28","Aug-24","65","Aug-15","74","9","1","4","Sweetwater","S02",2010,"S0","South","Pre",1013,"W","D","WD"
"106",2078,"Wet",17,17,"Nov-2","Aug-24","70","Aug-15","79","9","1","4","Sweetwater","S02",2010,"S0","South","Pre",1013,"W","D","WD"
"107",2079,"Wet",13,6,"27-Jan","04-Nov","84","29-Oct","90","6.333333333","2","4","Sweetwater","S02",2010,"S0","South","Pre",1013,"W","D","WD"
"108",2079,"Dry",13,6,"14-Jan","04-Nov","71","29-Oct","77","6.333333333","2","4","Sweetwater","S02",2010,"S0","South","Pre",1013,"W","D","WD"
"109",2081,"Dry",9,1,"Oct-27","Aug-23","65","Aug-15","73","8.666666667","1","4","Sweetwater","S02",2010,"S0","South","Pre",1013,"W","W","WW"
"110",2081,"Wet",9,1,"Oct-29","Aug-23","67","Aug-15","75","8.666666667","1","4","Sweetwater","S02",2010,"S0","South","Pre",1013,"W","W","WW"
"111",2082,"Wet",4,16,"20-Feb","03-Nov","109","29-Oct","114","5","2","4","Sweetwater","S02",2010,"S0","South","Pre",1013,"W","W","WW"
"112",2082,"Dry",4,16,"21-Jan","03-Nov","79","29-Oct","84","5","2","4","Sweetwater","S02",2010,"S0","South","Pre",1013,"W","W","WW"
"113",2084,"Wet",4,15,"Oct-30","Aug-23","68","Aug-15","76","8.666666667","1","4","Sweetwater","S02",2010,"S0","South","Pre",1014,"W","D","WD"
"114",2084,"Dry",4,15,"Oct-26","Aug-23","64","Aug-15","72","8.666666667","1","4","Sweetwater","S02",2010,"S0","South","Pre",1014,"W","D","WD"
"115",2085,"Wet",8,11,"03-Feb","07-Nov","88","29-Oct","97","9.333333333","2","4","Sweetwater","S02",2010,"S0","South","Pre",1014,"W","D","WD"
"116",2085,"Dry",8,11,NA,"07-Nov","#VALUE!","29-Oct","#VALUE!","9.333333333","2","4","Sweetwater","S02",2010,"S0","South","Pre",1014,"W","D","WD"
"117",2087,"Wet",1,10,"Nov-11","Aug-23","80","Aug-15","88","8","1","4","Sweetwater","S02",2010,"S0","South","Pre",1014,"W","W","WW"
"118",2087,"Dry",1,10,"Nov-5","Aug-23","74","Aug-15","82","8","1","4","Sweetwater","S02",2010,"S0","South","Pre",1014,"W","W","WW"
"119",2088,"Dry",11,13,"17-Jan","03-Nov","75","29-Oct","80","5","2","4","Sweetwater","S02",2010,"S0","South","Pre",1014,"W","W","WW"
"120",2088,"Wet",11,13,"23-Jan","03-Nov","81","29-Oct","86","5","2","4","Sweetwater","S02",2010,"S0","South","Pre",1014,"W","W","WW"
"121",2090,"Dry",11,2,"Oct-20","Aug-22","59","Aug-15","66","7","1","4","Sweetwater","S02",2010,"S0","South","Pre",1015,"D","D","DD"
"122",2090,"Wet",11,2,"Oct-29","Aug-22","68","Aug-15","75","7","1","4","Sweetwater","S02",2010,"S0","South","Pre",1015,"D","D","DD"
"123",2091,"Dry",26,3,"12-Jan","04-Nov","69","29-Oct","75","6","2","4","Sweetwater","S02",2010,"S0","South","Pre",1015,"D","D","DD"
"124",2091,"Wet",26,3,"19-Jan","04-Nov","76","29-Oct","82","6","2","4","Sweetwater","S02",2010,"S0","South","Pre",1015,"D","D","DD"
"125",2093,"Dry",24,2,"Nov-2","Aug-23","71","Aug-15","79","8","1","4","Sweetwater","S02",2010,"S0","South","Pre",1015,"D","W","DW"
"126",2093,"Wet",24,2,"Nov-4","Aug-23","73","Aug-15","81","8","1","4","Sweetwater","S02",2010,"S0","South","Pre",1015,"D","W","DW"
"127",2094,"Dry",17,17,"20-Jan","04-Nov","77","29-Oct","83","6.333333333","2","4","Sweetwater","S02",2010,"S0","South","Pre",1015,"D","W","DW"
"128",2094,"Wet",17,17,"22-Jan","04-Nov","79","29-Oct","85","6.333333333","2","4","Sweetwater","S02",2010,"S0","South","Pre",1015,"D","W","DW"
"129",2096,"Wet",22,15,"Nov28","Aug-22","98","Aug-15","105","7.333333333","1","4","Sweetwater","S02",2010,"S0","South","Pre",1016,"D","D","DD"
"130",2096,"Dry",22,15,"Oct-28","Aug-22","67","Aug-15","74","7.333333333","1","4","Sweetwater","S02",2010,"S0","South","Pre",1016,"D","D","DD"
"131",2097,"Dry",26,13,"10-Jan","04-Nov","67","29-Oct","73","6","2","4","Sweetwater","S02",2010,"S0","South","Pre",1016,"D","D","DD"
"132",2097,"Wet",26,13,"19-Jan","04-Nov","76","29-Oct","82","6","2","4","Sweetwater","S02",2010,"S0","South","Pre",1016,"D","D","DD"
"133",2099,"Wet",13,12,"Nov-16","Aug-23","85","Aug-15","93","8.333333333","1","4","Sweetwater","S02",2010,"S0","South","Pre",1016,"D","W","DW"
"134",2099,"Dry",13,12,"Oct-30","Aug-23","68","Aug-15","76","8.333333333","1","4","Sweetwater","S02",2010,"S0","South","Pre",1016,"D","W","DW"
"135",2100,"Dry",12,13,"22-Jan","11-Nov","72","29-Oct","85","13.33333333","2","4","Sweetwater","S02",2010,"S0","South","Pre",1016,"D","W","DW"
